user_id,nama,gender,usia,segmen,segmen_label,pekerjaan,kota,tier_kota,populasi_kota,lat,long,pendapatan_bulan,pengeluaran_bulan,tabungan_bulan,spending_ratio,impulse_base
BUDU00001,Dhea Hidayat,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,-6.2408,106.6337,1734027,1342635,391392,0.774,0.25
BUDU00002,Elisa Iskandar,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,-6.0883,106.3071,927277,790966,136311,0.853,0.15
BUDU00003,Zulfi Prasetyo,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,3.4777,99.1554,4824279,3389962,1434317,0.703,0.4
BUDU00004,Kukuh Kusuma,L,43,C,Kelas C (Menengah),Staf Administrasi,Bandung,Kota Besar,2500000,-7.4015,107.35,6862528,4481406,2381122,0.653,0.4
BUDU00005,Gilang Sanjaya,L,32,E,Kelas E (Miskin),Pedagang Kaki Lima,Pekalongan,Kota Kecil,310000,-7.1807,109.743,927565,792206,135359,0.854,0.15
BUDU00006,Uci Sanjaya,P,42,B,Kelas B (Menengah Atas),Pengacara,Tangerang,Metropolitan,2100000,-6.625,106.4655,11245029,6152935,5092094,0.547,0.55
BUDU00007,Indri Prasetyo,P,34,C,Kelas C (Menengah),Sales,Tasikmalaya,Kota Kecil,700000,-7.835,108.1417,4103996,2818928,1285068,0.687,0.4
BUDU00008,Tiara Susanto,P,43,B,Kelas B (Menengah Atas),Manajer,Bandung,Kota Besar,2500000,-6.5025,107.9691,7962580,4477858,3484722,0.562,0.55
BUDU00009,Udin Setiawan,L,44,E,Kelas E (Miskin),Asisten Rumah Tangga,Bandung,Kota Besar,2500000,-7.0346,108.0908,1246290,1196886,49404,0.96,0.15
BUDU00010,Yanti Firmansyah,P,32,C,Kelas C (Menengah),Staf Administrasi,Purwokerto,Kota Kecil,290000,-7.8902,109.3789,4710164,3151845,1558319,0.669,0.4
BUDU00011,Kevin Wahyudi,L,27,B,Kelas B (Menengah Atas),Manajer,Depok,Metropolitan,2200000,-6.7413,107.2239,19257096,12556206,6700890,0.652,0.55
BUDU00012,Putra Nugroho,L,33,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,-6.3437,107.2068,1418296,1255727,162569,0.885,0.15
BUDU00013,Bunga Susanto,P,18,C,Kelas C (Menengah),Guru Tetap,Makassar,Kota Besar,1500000,-4.9553,119.2021,5042989,3296640,1746349,0.654,0.4
BUDU00014,Mulyadi Harahap,L,29,D,Kelas D (Menengah Bawah),Driver Ojek Online,Palembang,Kota Besar,1700000,-2.7798,104.9877,2957673,2292714,664959,0.775,0.25
BUDU00015,Lina Siregar,P,19,D,Kelas D (Menengah Bawah),SPG/SPB,Cirebon,Kota Kecil,320000,-6.7011,108.5001,2017606,1702843,314763,0.844,0.25
BUDU00016,Ayu Rahayu,P,27,C,Kelas C (Menengah),Guru Tetap,Medan,Kota Besar,2400000,3.9116,98.9705,5529223,3500871,2028352,0.633,0.4
BUDU00017,Prio Prasetyo,L,39,D,Kelas D (Menengah Bawah),SPG/SPB,Purwokerto,Kota Kecil,290000,-7.5729,108.8387,1524881,1387472,137409,0.91,0.25
BUDU00018,Zulfi Mahendra,L,28,A,Kelas A (Kaya),Dokter Spesialis,Medan,Kota Besar,2400000,3.3238,98.3472,140210170,76365540,63844630,0.545,0.65
BUDU00019,Hadi Setiawan,L,42,C,Kelas C (Menengah),Perawat,Medan,Kota Besar,2400000,3.7956,99.0189,5532405,4361700,1170705,0.788,0.4
BUDU00020,Tari Gunawan,P,26,B,Kelas B (Menengah Atas),Pengacara,Depok,Metropolitan,2200000,-6.5302,107.2343,18681204,12953845,5727359,0.693,0.55
BUDU00021,Tiara Hartono,P,49,D,Kelas D (Menengah Bawah),SPG/SPB,Desa Panyingkiran,Desa,3700,-6.3746,107.0465,1763887,1517715,246172,0.86,0.25
BUDU00022,Hadi Firmansyah,L,27,C,Kelas C (Menengah),Guru Tetap,Pekalongan,Kota Kecil,310000,-6.4097,109.662,4060809,3245974,814835,0.799,0.4
BUDU00023,Zulfi Wibowo,L,35,B,Kelas B (Menengah Atas),Engineer Senior,Depok,Metropolitan,2200000,-6.3305,107.0628,9538158,4396146,5142012,0.461,0.55
BUDU00024,Maya Susanto,P,51,A,Kelas A (Kaya),Notaris,Tangerang Selatan,Metropolitan,1700000,-5.82,107.174,143899340,72799084,71100256,0.506,0.65
BUDU00025,Erwin Susanto,L,23,D,Kelas D (Menengah Bawah),SPG/SPB,Surabaya,Kota Besar,3100000,-6.8275,112.3225,2335201,1834338,500863,0.786,0.25
BUDU00026,Yanto Saputra,L,55,A,Kelas A (Kaya),Pengusaha,Depok,Metropolitan,2200000,-6.1936,106.847,116299920,39420212,76879708,0.339,0.65
BUDU00027,Vina Prasetyo,P,36,B,Kelas B (Menengah Atas),Dokter,Jakarta,Metropolitan,10500000,-6.6379,106.7424,13519711,6255464,7264247,0.463,0.55
BUDU00028,Andi Lubis,L,39,D,Kelas D (Menengah Bawah),Admin Kantor,Desa Panyingkiran,Desa,3700,-6.4135,106.8908,1992229,1504502,487727,0.755,0.25
BUDU00029,Oscar Prasetyo,L,30,E,Kelas E (Miskin),Buruh Pabrik,Desa Cikaret,Desa,2800,-6.0771,106.3853,1379508,1181850,197658,0.857,0.15
BUDU00030,Afifah Harahap,P,21,C,Kelas C (Menengah),Sales,Medan,Kota Besar,2400000,3.8904,98.443,6878147,4791136,2087011,0.697,0.4
BUDU00031,Tono Purnomo,L,40,D,Kelas D (Menengah Bawah),Teknisi,Denpasar,Kota Besar,900000,-8.9203,115.2618,1587290,1383294,203996,0.871,0.25
BUDU00032,Yanti Setiawan,P,37,D,Kelas D (Menengah Bawah),Teknisi,Purwokerto,Kota Kecil,290000,-7.1638,108.7569,2129400,1639068,490332,0.77,0.25
BUDU00033,Hendra Nugroho,L,18,E,Kelas E (Miskin),Pedagang Kaki Lima,Magelang,Kota Kecil,130000,-7.8065,110.1516,1334355,1203329,131026,0.902,0.15
BUDU00034,Okta Saputra,P,46,A,Kelas A (Kaya),Pengusaha,Makassar,Kota Besar,1500000,-4.9637,119.5486,85407713,45536615,39871098,0.533,0.65
BUDU00035,Kiki Harahap,P,39,E,Kelas E (Miskin),Buruh Tani,Tasikmalaya,Kota Kecil,700000,-7.0394,108.5389,1071718,998168,73550,0.931,0.15
BUDU00036,Elisa Budiman,P,27,A,Kelas A (Kaya),Investor,Depok,Metropolitan,2200000,-6.2842,106.6308,33101140,14786835,18314305,0.447,0.65
BUDU00037,Firmansyah Sutrisno,L,29,B,Kelas B (Menengah Atas),Dosen,Bogor,Metropolitan,1100000,-6.1605,106.3452,8536142,4733176,3802966,0.554,0.55
